,gender,order,goal,field_cd,date,age,go_out,imprace,imprelig,attr,race,age_diff,goal_equals,dec
0,0,4,2.0,1.0,7.0,21.0,1.0,2.0,4.0,6.0,4.0,6.0,False,1
1,0,3,2.0,1.0,7.0,21.0,1.0,2.0,4.0,7.0,4.0,1.0,False,1
2,0,10,2.0,1.0,7.0,21.0,1.0,2.0,4.0,5.0,4.0,1.0,True,1
3,0,5,2.0,1.0,7.0,21.0,1.0,2.0,4.0,7.0,4.0,2.0,True,1
4,0,7,2.0,1.0,7.0,21.0,1.0,2.0,4.0,5.0,4.0,3.0,False,1
5,0,6,2.0,1.0,7.0,21.0,1.0,2.0,4.0,4.0,4.0,4.0,False,0
6,0,1,2.0,1.0,7.0,21.0,1.0,2.0,4.0,7.0,4.0,9.0,False,1
7,0,2,2.0,1.0,7.0,21.0,1.0,2.0,4.0,4.0,4.0,6.0,False,0
8,0,8,2.0,1.0,7.0,21.0,1.0,2.0,4.0,7.0,4.0,7.0,False,1
9,0,9,2.0,1.0,7.0,21.0,1.0,2.0,4.0,5.0,4.0,3.0,False,1
10,0,10,1.0,1.0,5.0,24.0,1.0,2.0,5.0,5.0,2.0,3.0,True,0
11,0,9,1.0,1.0,5.0,24.0,1.0,2.0,5.0,8.0,2.0,2.0,True,0
12,0,6,1.0,1.0,5.0,24.0,1.0,2.0,5.0,5.0,2.0,2.0,False,0
13,0,1,1.0,1.0,5.0,24.0,1.0,2.0,5.0,7.0,2.0,1.0,False,1
14,0,3,1.0,1.0,5.0,24.0,1.0,2.0,5.0,6.0,2.0,0.0,True,0
15,0,2,1.0,1.0,5.0,24.0,1.0,2.0,5.0,8.0,2.0,1.0,True,0
16,0,7,1.0,1.0,5.0,24.0,1.0,2.0,5.0,7.0,2.0,6.0,False,1
17,0,8,1.0,1.0,5.0,24.0,1.0,2.0,5.0,5.0,2.0,3.0,True,0
18,0,4,1.0,1.0,5.0,24.0,1.0,2.0,5.0,7.0,2.0,4.0,False,1
19,0,5,1.0,1.0,5.0,24.0,1.0,2.0,5.0,6.0,2.0,0.0,True,1
20,0,6,6.0,2.0,3.0,25.0,1.0,8.0,4.0,7.0,2.0,2.0,False,0
21,0,5,6.0,2.0,3.0,25.0,1.0,8.0,4.0,9.0,2.0,3.0,False,0
22,0,2,6.0,2.0,3.0,25.0,1.0,8.0,4.0,7.0,2.0,3.0,False,0
23,0,7,6.0,2.0,3.0,25.0,1.0,8.0,4.0,9.0,2.0,2.0,False,0
24,0,9,6.0,2.0,3.0,25.0,1.0,8.0,4.0,9.0,2.0,1.0,False,0
25,0,8,6.0,2.0,3.0,25.0,1.0,8.0,4.0,8.0,2.0,0.0,False,0
26,0,3,6.0,2.0,3.0,25.0,1.0,8.0,4.0,8.0,2.0,5.0,False,0
27,0,4,6.0,2.0,3.0,25.0,1.0,8.0,4.0,7.0,2.0,2.0,False,0
28,0,10,6.0,2.0,3.0,25.0,1.0,8.0,4.0,9.0,2.0,3.0,False,0
