Dexter	August 1, 2006	Hamster (Dwarf)	Blonde	Male	June 20, 2006	Gone to Hamster Heaven	Vernon Hills, IL&nbsp; United States	Toilet Paper, paper towels, etc	Toilet Paper, paper towels, etc	Lettuce
Tonks	April 15, 2004	Hamster (Syrian)	Golden	Female	June 20, 2003	Gone to Hamster Heaven	Windsor Mill, MD&nbsp; United States	wooden hamster bunker	wooden hamster bunker	just about anything
Bunny-Rabbit	October 27, 2004	Hamster (Syrian)	Black	Female	August 1, 2002	Gone to Hamster Heaven	Chatsworth, GA&nbsp; United States	Carpet?	Carpet?	Doritoes
Nana	June 6, 2006	Hamster (Syrian)	Cream	Female	October 16, 2004	Gone to Hamster Heaven	Tokyo,  Japan	My wheel	My wheel	Corn and broccoli
Julia	January 5, 2006	Hamster (Syrian)	Cream	Female	April 1, 2003	Gone to Hamster Heaven	Tokyo,  Japan	Wooden block	Wooden block	Sunflower seeds
Fang	July 26, 2006	Hamster (Unknown)	Cream	Male	July 1, 2006	Gone to Hamster Heaven	Manhattan, NY&nbsp; United States	My husband likes to put a treat on a string and hang it from the top bar of Fang's cage. He bats at it like a pinata, and then nibbles at it.	My husband likes to put a treat on a string and hang it from the top bar of Fang's cage. He bats at it like a pinata, and then nibbles at it.	Fang will eat just about anything, but only if he thinks no one is watching. He doesn't like to have an audience when he eats.
Bella	July 12, 2006	Hamster (Syrian)	Sable	Female	April 20, 2006	Gone to Hamster Heaven	London,  United Kingdom	toilet roll tubes	toilet roll tubes	Sunflower seeds
October	July 29, 2004	Hamster (Syrian)	Cinnamon Banded	Male	May 2, 2004	Gone to Hamster Heaven	Falmouth, MA&nbsp; United States	sock	sock	carrots
Raoul	April 19, 2005	Hamster (Syrian)	Golden	Male	February 17, 2005	Gone to Hamster Heaven	Windsor Mill, MD&nbsp; United States	People!  To play with!  Friends!	People!  To play with!  Friends!	Hamster food.  Grape skins.  Hates all other human food.
Colonel Angus	December 14, 2004	Hamster (Teddy Bear)	Honey	Female	March 17, 2004	Gone to Hamster Heaven	Baltimore, MD&nbsp; United States	bathrobe strings	bathrobe strings	peanut butter
Ramsey	June 10, 2006	Hamster (Syrian)	Orange	Male	April 1, 2006	Gone to Hamster Heaven	Bournemouth,  United Kingdom	Wheel	Wheel	Banana, Melon, Monkey nuts
Mie	August 19, 2006	Hamster (Dwarf)	Pearl	Female	May 5, 2006	Gone to Hamster Heaven	Singapore,  Singapore	running wheel	running wheel	chocolates!
Cream	August 6, 2006	Hamster (Unknown)	White	Female	June 22, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Sunflower Seeds
Cookie	August 6, 2006	Hamster (Unknown)	Grey	Female	June 22, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore
Tofu	June 17, 2006	Hamster (Roborovskii)	Agouti	Female	April 14, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Corn
